actions,blocked_time_s,charge_trips,condition_percent,decision_ms,delivered_by_section,delivered_units,distance_m,end_battery_percent,energy_wh,lost_by_section,lost_units,min_battery_percent,policy,produced_units,scenario,score,seed,shift_s,violation_count,violations,wh_per_unit
67,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 15, 'B': 28, 'C': 4}",47,346.2,96.0,4.84,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,47,balanced,44.58,0,3600.7,0,,0.103
66,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 21, 'B': 31, 'C': 4}",56,362.9,98.9,5.151,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,55,balanced,53.42,1,3600.6,0,,0.092
69,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 18, 'B': 29, 'C': 4}",51,374.4,98.9,5.253,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.9,rule,54,balanced,48.37,2,3600.0,0,,0.103
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,343.8,100.0,4.938,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.9,rule,54,balanced,49.53,3,3600.5,0,,0.095
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.96,0.0,"{'A': 9, 'B': 29, 'C': 4}",42,292.7,100.0,4.074,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,43,balanced,39.96,4,3600.4,0,,0.097
64,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 21, 'B': 31, 'C': 4}",56,343.1,97.5,5.002,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.9,rule,56,balanced,53.5,5,3600.7,0,,0.0893
65,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.97,0.0,"{'A': 9, 'B': 17, 'C': 4}",30,234.2,99.6,3.251,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.6,rule,33,balanced,28.37,6,3600.5,0,,0.1084
67,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 19, 'B': 27, 'C': 4}",50,343.4,98.1,4.947,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.0,rule,51,balanced,47.53,7,3600.4,0,,0.0989
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,99.95,0.0,"{'A': 18, 'B': 31, 'C': 4}",53,373.5,98.2,5.254,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.3,rule,53,balanced,50.37,8,3600.7,0,,0.0991
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,99.95,0.0,"{'A': 18, 'B': 28, 'C': 4}",50,373.0,100.0,5.258,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.6,rule,53,balanced,47.37,9,3600.4,0,,0.1052
67,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 18, 'B': 31, 'C': 4}",53,368.4,98.0,5.228,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,54,balanced,50.39,10,3600.6,0,,0.0986
69,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 18, 'B': 28, 'C': 4}",50,354.3,100.0,5.006,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,53,balanced,47.5,11,3600.5,0,,0.1001
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,382.7,99.5,5.355,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.8,rule,55,balanced,49.32,12,3600.3,0,,0.103
67,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 18, 'B': 17, 'C': 4}",39,281.0,98.9,4.055,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.7,rule,44,balanced,36.97,13,3600.5,0,,0.104
71,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",12,99.95,0.0,"{'A': 21, 'B': 28, 'C': 4}",53,384.2,98.8,5.393,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.2,rule,54,balanced,50.3,14,3600.2,0,,0.1017
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",12,99.95,0.0,"{'A': 18, 'B': 31, 'C': 4}",53,374.5,98.2,5.297,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.6,rule,53,balanced,50.35,15,3600.3,0,,0.0999
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 18, 'B': 26, 'C': 4}",48,337.8,100.0,4.776,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.6,rule,49,balanced,45.61,16,3600.2,0,,0.0995
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,356.8,100.0,5.097,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.2,rule,55,balanced,49.45,17,3601.0,0,,0.098
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.96,0.0,"{'A': 19, 'B': 21, 'C': 4}",44,298.0,98.1,4.262,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.2,rule,44,balanced,41.87,18,3601.0,0,,0.0969
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,99.95,0.0,"{'A': 18, 'B': 29, 'C': 4}",51,327.8,100.0,4.757,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.0,rule,55,balanced,48.62,19,3600.4,0,,0.0933
