actions,blocked_time_s,charge_trips,condition_percent,decision_ms,delivered_by_section,delivered_units,distance_m,end_battery_percent,energy_wh,lost_by_section,lost_units,min_battery_percent,policy,produced_units,scenario,score,seed,shift_s,split,violation_count,violations,wh_per_unit
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.95,0.0,"{'A': 17, 'B': 31, 'C': 4}",52,329.5,98.6,4.65,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.0,rule,52,aged_battery,49.67,5000,3600.9,unseen,0,,0.0894
39,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 20, 'B': 31, 'C': 4}",55,335.9,96.3,4.809,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.0,rule,52,aged_battery,52.6,5001,3600.2,unseen,0,,0.0874
36,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 18, 'B': 29, 'C': 4}",51,308.9,98.8,4.611,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,53,aged_battery,48.69,5002,3600.9,unseen,0,,0.0904
40,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 18, 'B': 20, 'C': 4}",42,278.0,99.8,4.012,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.4,rule,47,aged_battery,39.99,5003,3600.7,unseen,0,,0.0955
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 19, 'B': 30, 'C': 4}",53,327.4,95.5,4.805,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.0,rule,52,aged_battery,50.6,5004,3600.6,unseen,0,,0.0907
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 21, 'B': 31, 'C': 2}",54,327.4,95.7,4.707,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.3,rule,53,aged_battery,51.65,5005,3600.5,unseen,0,,0.0872
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 19, 'B': 29, 'C': 4}",52,313.4,96.3,4.584,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.1,rule,53,aged_battery,49.71,5006,3600.6,unseen,0,,0.0882
35,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 20, 'B': 28, 'C': 4}",52,308.0,99.1,4.51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.6,rule,56,aged_battery,49.75,5007,3600.9,unseen,0,,0.0867
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 18, 'B': 28, 'C': 4}",50,301.5,97.7,4.413,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,53,aged_battery,47.79,5008,3600.2,unseen,0,,0.0883
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 18, 'B': 29, 'C': 2}",49,292.3,99.7,4.229,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.1,rule,52,aged_battery,46.89,5009,3600.5,unseen,0,,0.0863
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 12, 'B': 32, 'C': 4}",48,309.8,98.9,4.434,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,48,aged_battery,45.78,5010,3600.4,unseen,0,,0.0924
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 18, 'B': 26, 'C': 4}",48,336.9,96.3,4.804,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,50,aged_battery,45.6,5011,3600.8,unseen,0,,0.1001
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 17, 'B': 30, 'C': 4}",51,306.1,99.6,4.38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.6,rule,53,aged_battery,48.81,5012,3600.9,unseen,0,,0.0859
38,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 19, 'B': 29, 'C': 4}",52,312.9,93.5,4.699,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,55,aged_battery,49.65,5013,3600.3,unseen,0,,0.0904
36,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 20, 'B': 32, 'C': 3}",55,337.9,94.8,4.898,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.0,rule,54,aged_battery,52.55,5014,3600.4,unseen,0,,0.0891
