from,length_m,matrix_m,mean_clearance_m,min_clearance_m,planner,planning_ms,poses,repeat,status,to,turning_rad
A,18.469,18.28,0.6,0.35,NavfnDijkstra,4.0,737,0,ok,B,17.4
A,15.783,15.56,0.596,0.335,NavfnDijkstra,4.0,630,0,ok,C,11.6
A,10.153,10.01,0.607,0.335,NavfnDijkstra,42.16,404,0,ok,delivery,7.95
A,9.124,9.04,0.546,0.335,NavfnDijkstra,38.05,364,0,ok,charger,8.133
B,18.281,18.28,0.627,0.381,NavfnDijkstra,69.21,729,0,ok,A,12.454
B,9.344,9.24,0.559,0.391,NavfnDijkstra,72.83,371,0,ok,C,7.246
B,10.241,10.26,0.668,0.381,NavfnDijkstra,8.0,410,0,ok,delivery,1.662
B,15.203,15.18,0.657,0.381,NavfnDijkstra,54.85,605,0,ok,charger,4.863
C,15.759,15.56,0.607,0.354,NavfnDijkstra,8.0,629,0,ok,A,12.19
C,9.387,9.24,0.535,0.35,NavfnDijkstra,41.72,374,0,ok,B,8.951
C,6.297,6.3,0.657,0.427,NavfnDijkstra,53.46,252,0,ok,delivery,1.101
C,11.36,11.27,0.666,0.45,NavfnDijkstra,8.0,453,0,ok,charger,2.616
delivery,10.129,10.01,0.627,0.335,NavfnDijkstra,4.0,403,0,ok,A,9.705
delivery,10.408,10.26,0.634,0.35,NavfnDijkstra,4.0,415,0,ok,B,7.336
delivery,6.388,6.3,0.657,0.4,NavfnDijkstra,4.0,254,0,ok,C,2.085
delivery,5.204,5.1,0.77,0.5,NavfnDijkstra,19.23,206,0,ok,charger,3.138
charger,9.16,9.04,0.576,0.335,NavfnDijkstra,47.74,365,0,ok,A,9.952
charger,15.308,15.18,0.623,0.35,NavfnDijkstra,4.0,611,0,ok,B,11.1
charger,11.409,11.27,0.646,0.4,NavfnDijkstra,52.52,455,0,ok,C,6.279
charger,5.19,5.1,0.727,0.492,NavfnDijkstra,51.39,206,0,ok,delivery,2.209
A,18.615,18.28,0.626,0.35,NavfnAStar,88.12,728,0,ok,B,25.647
A,15.849,15.56,0.619,0.335,NavfnAStar,75.61,630,0,ok,C,13.058
A,10.257,10.01,0.596,0.354,NavfnAStar,4.0,409,0,ok,delivery,8.463
A,9.336,9.04,0.551,0.316,NavfnAStar,45.19,371,0,ok,charger,17.518
B,18.358,18.28,0.629,0.381,NavfnAStar,4.0,733,0,ok,A,10.609
B,9.39,9.24,0.569,0.354,NavfnAStar,56.25,365,0,ok,C,12.34
B,10.495,10.26,0.655,0.364,NavfnAStar,42.83,374,0,ok,delivery,15.624
B,15.407,15.18,0.658,0.391,NavfnAStar,55.67,613,0,ok,charger,10.925
C,15.972,15.56,0.587,0.354,NavfnAStar,61.81,637,0,ok,A,19.129
C,9.535,9.24,0.545,0.35,NavfnAStar,34.27,369,0,ok,B,13.359
C,6.283,6.3,0.643,0.4,NavfnAStar,31.78,251,0,ok,delivery,0.296
C,11.337,11.27,0.673,0.45,NavfnAStar,45.83,452,0,ok,charger,1.843
delivery,10.285,10.01,0.587,0.335,NavfnAStar,24.42,410,0,ok,A,14.92
delivery,10.817,10.26,0.58,0.335,NavfnAStar,4.0,427,0,ok,B,18.386
delivery,6.46,6.3,0.635,0.354,NavfnAStar,33.21,245,0,ok,C,3.465
delivery,5.154,5.1,0.76,0.5,NavfnAStar,44.94,204,0,ok,charger,0.657
charger,9.456,9.04,0.536,0.335,NavfnAStar,69.66,377,0,ok,A,16.396
charger,15.948,15.18,0.613,0.335,NavfnAStar,90.47,628,0,ok,B,20.097
charger,11.464,11.27,0.658,0.4,NavfnAStar,34.81,455,0,ok,C,8.43
charger,5.152,5.1,0.779,0.55,NavfnAStar,13.52,204,0,ok,delivery,0.628
A,18.392,18.28,0.506,0.304,Smac2D,44.0,342,0,ok,B,8.024
A,15.836,15.56,0.525,0.283,Smac2D,12.0,295,0,ok,C,8.689
A,10.138,10.01,0.521,0.304,Smac2D,16.0,180,0,ok,delivery,6.244
